Év,Város,Lakástípus,Lakásár (EUR/m²),Bérleti díj (EUR/hó),Nettó jövedelem (EUR/hó),EUR/RON árfolyam,Munkanélküliségi ráta (%)
2012-Q1,Arad,Felújított lakás,908.54,223.97,433.72,4.26,6.84
2012-Q1,Arad,Használt lakás,748.68,193.26,433.72,4.26,6.84
2012-Q1,Nagyszeben,Új lakás,1043.03,250.28,430.19,4.26,6.98
2012-Q1,Nagyszeben,Felújított lakás,913.87,200.17,430.19,4.26,6.98
2012-Q1,Nagyszeben,Használt lakás,781.19,168.25,430.19,4.26,6.98
2012-Q1,Târgu Mureș,Új lakás,1019.15,253.06,427.07,4.26,7.34
2012-Q1,Târgu Mureș,Felújított lakás,894.17,224.94,427.07,4.26,7.34
2012-Q1,Târgu Mureș,Használt lakás,778.15,183.82,427.07,4.26,7.34
2012-Q2,Bukarest,Új lakás,1041.65,231.78,427.36,4.32,7.01
2012-Q2,Bukarest,Felújított lakás,882.37,220.71,427.36,4.32,7.01
2012-Q2,Bukarest,Használt lakás,777.58,174.47,427.36,4.32,7.01
2012-Q2,Kolozsvár,Új lakás,1024.67,238.29,435.68,4.32,6.61
2012-Q2,Kolozsvár,Felújított lakás,922.86,218.46,435.68,4.32,6.61
2012-Q2,Kolozsvár,Használt lakás,779.13,166.56,435.68,4.32,6.61
2012-Q2,Temesvár,Új lakás,1034.58,250.75,416.19,4.32,6.96
2012-Q2,Temesvár,Felújított lakás,923.18,220.4,416.19,4.32,6.96
2012-Q2,Temesvár,Használt lakás,777.75,173.28,416.19,4.32,6.96
2012-Q2,Brassó,Új lakás,1026.42,234.8,439.5,4.32,6.65
2012-Q2,Brassó,Felújított lakás,907.89,208.89,439.5,4.32,6.65
2012-Q2,Brassó,Használt lakás,795.64,188.64,439.5,4.32,6.65
2012-Q2,Jászvásár,Új lakás,1034.68,253.87,437.4,4.32,7.36
2012-Q2,Jászvásár,Felújított lakás,886.77,198.61,437.4,4.32,7.36
2012-Q2,Jászvásár,Használt lakás,778.12,189.01,437.4,4.32,7.36
2012-Q2,Konstanca,Új lakás,1003.58,228.44,433.23,4.32,7.15
2012-Q2,Konstanca,Felújított lakás,917.35,199.93,433.23,4.32,7.15
2012-Q2,Konstanca,Használt lakás,762.36,172.7,433.23,4.32,7.15
2012-Q2,Craiova,Új lakás,1042.2,235.83,424.19,4.32,7.03
2012-Q2,Craiova,Felújított lakás,895.2,198.33,424.19,4.32,7.03
2012-Q2,Craiova,Használt lakás,786.28,176.74,424.19,4.32,7.03
2012-Q2,Galac,Új lakás,1039.51,243.25,429.95,4.32,7.19
2012-Q2,Galac,Felújított lakás,911.97,215.98,429.95,4.32,7.19
2012-Q2,Galac,Használt lakás,778.14,184.85,429.95,4.32,7.19
2012-Q2,Ploiești,Új lakás,1050.79,238.79,423.93,4.32,6.6
2012-Q2,Ploiești,Felújított lakás,915.56,199.24,423.93,4.32,6.6
2012-Q2,Ploiești,Használt lakás,787.96,178.1,423.93,4.32,6.6
2012-Q2,Nagyvárad,Új lakás,1047.75,254.77,451.65,4.32,7.11
2012-Q2,Nagyvárad,Felújított lakás,902.84,213.01,451.65,4.32,7.11
2012-Q2,Nagyvárad,Használt lakás,761.12,185.43,451.65,4.32,7.11
2012-Q2,Arad,Új lakás,1016.21,239.61,433.29,4.32,7.03
2012-Q2,Arad,Felújított lakás,891.32,217.07,433.29,4.32,7.03
2012-Q2,Arad,Használt lakás,795.44,190.72,433.29,4.32,7.03
2012-Q2,Nagyszeben,Új lakás,1046.53,225.27,421.16,4.32,6.64
2012-Q2,Nagyszeben,Felújított lakás,879.45,213.94,421.16,4.32,6.64
2012-Q2,Nagyszeben,Használt lakás,792.88,177.4,421.16,4.32,6.64
2012-Q2,Târgu Mureș,Új lakás,1036.19,244.3,423.44,4.32,7.16
2012-Q2,Târgu Mureș,Felújított lakás,924.23,215.01,423.44,4.32,7.16
2012-Q2,Târgu Mureș,Használt lakás,783.77,175.77,423.44,4.32,7.16
2012-Q3,Bukarest,Új lakás,1013.44,250.0,427.56,4.285,7.1
2012-Q3,Bukarest,Felújított lakás,904.78,214.29,427.56,4.285,7.1
2012-Q3,Bukarest,Használt lakás,788.6,187.29,427.56,4.285,7.1
2012-Q3,Kolozsvár,Új lakás,1029.38,236.18,444.95,4.285,7.33
2012-Q3,Kolozsvár,Felújított lakás,922.46,204.6,444.95,4.285,7.33
2012-Q3,Kolozsvár,Használt lakás,763.97,184.22,444.95,4.285,7.33
2012-Q3,Temesvár,Új lakás,1033.98,225.4,447.57,4.285,7.29
2012-Q3,Temesvár,Felújított lakás,898.83,212.21,447.57,4.285,7.29
2012-Q3,Temesvár,Használt lakás,755.22,188.13,447.57,4.285,7.29
2012-Q3,Brassó,Új lakás,1036.91,254.22,452.32,4.285,7.14
2012-Q3,Brassó,Felújított lakás,918.92,221.84,452.32,4.285,7.14
2012-Q3,Brassó,Használt lakás,773.4,194.5,452.32,4.285,7.14
2012-Q3,Jászvásár,Új lakás,1043.2,244.45,448.14,4.285,6.73
2012-Q3,Jászvásár,Felújított lakás,900.35,198.07,448.14,4.285,6.73
2012-Q3,Jászvásár,Használt lakás,769.66,193.73,448.14,4.285,6.73
2012-Q3,Konstanca,Új lakás,1007.96,227.7,445.51,4.285,6.98
2012-Q3,Konstanca,Felújított lakás,894.7,224.28,445.51,4.285,6.98
2012-Q3,Konstanca,Használt lakás,790.43,184.56,445.51,4.285,6.98
2012-Q3,Craiova,Új lakás,1046.66,226.17,440.93,4.285,7.21
2012-Q3,Craiova,Felújított lakás,888.65,224.54,440.93,4.285,7.21
2012-Q3,Craiova,Használt lakás,753.42,170.61,440.93,4.285,7.21
2012-Q3,Galac,Új lakás,1042.32,249.7,421.67,4.285,7.17
2012-Q3,Galac,Felújított lakás,892.64,219.4,421.67,4.285,7.17
2012-Q3,Galac,Használt lakás,771.25,165.13,421.67,4.285,7.17
2012-Q3,Ploiești,Új lakás,1041.02,249.14,425.78,4.285,7.16
2012-Q3,Ploiești,Felújított lakás,900.57,198.46,425.78,4.285,7.16
2012-Q3,Ploiești,Használt lakás,774.76,193.41,425.78,4.285,7.16
2012-Q3,Nagyvárad,Új lakás,1010.05,230.55,425.28,4.285,7.39
2012-Q3,Nagyvárad,Felújított lakás,877.44,221.96,425.28,4.285,7.39
2012-Q3,Nagyvárad,Használt lakás,747.88,165.36,425.28,4.285,7.39
2012-Q3,Arad,Új lakás,1033.03,233.68,421.74,4.285,7.37
2012-Q3,Arad,Felújított lakás,909.38,206.76,421.74,4.285,7.37
2012-Q3,Arad,Használt lakás,787.39,189.87,421.74,4.285,7.37
2012-Q3,Nagyszeben,Új lakás,1039.97,232.46,432.47,4.285,6.7
2012-Q3,Nagyszeben,Felújított lakás,887.68,224.81,432.47,4.285,6.7
2012-Q3,Nagyszeben,Használt lakás,748.42,191.58,432.47,4.285,6.7
2012-Q3,Târgu Mureș,Új lakás,1016.66,248.22,450.64,4.285,6.73
2012-Q3,Târgu Mureș,Felújított lakás,915.48,204.66,450.64,4.285,6.73
2012-Q3,Târgu Mureș,Használt lakás,752.16,184.2,450.64,4.285,6.73
2012-Q4,Bukarest,Új lakás,1047.2,232.95,432.19,4.334,7.27
2012-Q4,Bukarest,Felújított lakás,908.83,218.78,432.19,4.334,7.27
2012-Q4,Bukarest,Használt lakás,782.04,193.61,432.19,4.334,7.27
2012-Q4,Kolozsvár,Új lakás,1037.41,240.22,454.17,4.334,7.38
2012-Q4,Kolozsvár,Felújított lakás,897.92,217.97,454.17,4.334,7.38
2012-Q4,Kolozsvár,Használt lakás,748.29,182.84,454.17,4.334,7.38
2012-Q4,Temesvár,Új lakás,1039.81,252.56,447.93,4.334,6.88
2012-Q4,Temesvár,Felújított lakás,878.09,207.88,447.93,4.334,6.88
2012-Q4,Temesvár,Használt lakás,787.24,179.07,447.93,4.334,6.88
2012-Q4,Brassó,Új lakás,1013.88,253.44,449.6,4.334,6.93
2012-Q4,Brassó,Felújított lakás,891.57,204.17,449.6,4.334,6.93
2012-Q4,Brassó,Használt lakás,778.28,165.22,449.6,4.334,6.93
2012-Q4,Jászvásár,Új lakás,1022.2,242.8,441.08,4.334,6.91
2012-Q4,Jászvásár,Felújított lakás,891.74,224.45,441.08,4.334,6.91
2012-Q4,Jászvásár,Használt lakás,768.11,182.64,441.08,4.334,6.91
2012-Q4,Konstanca,Új lakás,1028.97,247.82,452.73,4.334,7.03
2012-Q4,Konstanca,Felújított lakás,913.7,210.94,452.73,4.334,7.03
2012-Q4,Konstanca,Használt lakás,778.27,193.92,452.73,4.334,7.03
2012-Q4,Craiova,Új lakás,1047.81,244.7,444.32,4.334,7.26
2012-Q4,Craiova,Felújított lakás,919.23,221.56,444.32,4.334,7.26
2012-Q4,Craiova,Használt lakás,786.69,183.73,444.32,4.334,7.26
2012-Q4,Galac,Új lakás,1037.45,249.84,438.59,4.334,7.24
2012-Q4,Galac,Felújított lakás,893.24,199.05,438.59,4.334,7.24
2012-Q4,Galac,Használt lakás,764.82,173.09,438.59,4.334,7.24
2012-Q4,Ploiești,Új lakás,1012.85,244.37,448.02,4.334,7.04
2012-Q4,Ploiești,Felújított lakás,901.92,216.6,448.02,4.334,7.04
2012-Q4,Ploiești,Használt lakás,762.07,194.0,448.02,4.334,7.04
2012-Q4,Nagyvárad,Új lakás,1052.28,240.93,426.18,4.334,7.4
2012-Q4,Nagyvárad,Felújított lakás,883.98,205.46,426.18,4.334,7.4
2012-Q4,Nagyvárad,Használt lakás,751.6,176.59,426.18,4.334,7.4
2012-Q4,Arad,Új lakás,1047.06,229.88,416.03,4.334,7.11
2012-Q4,Arad,Felújított lakás,923.16,207.07,416.03,4.334,7.11
2012-Q4,Arad,Használt lakás,751.47,165.57,416.03,4.334,7.11
2012-Q4,Nagyszeben,Új lakás,1014.97,225.22,449.09,4.334,7.3
2012-Q4,Nagyszeben,Felújított lakás,898.55,214.24,449.09,4.334,7.3
2012-Q4,Nagyszeben,Használt lakás,762.81,181.39,449.09,4.334,7.3
2012-Q4,Târgu Mureș,Új lakás,1021.04,252.37,452.16,4.334,7.32
2012-Q4,Târgu Mureș,Felújított lakás,907.95,201.15,452.16,4.334,7.32
2012-Q4,Târgu Mureș,Használt lakás,775.48,188.97,452.16,4.334,7.32
2013-Q1,Bukarest,Új lakás,1117.06,269.69,468.3,4.346,6.59
2013-Q1,Bukarest,Felújított lakás,963.8,242.38,468.3,4.346,6.59
2013-Q1,Bukarest,Használt lakás,863.9,214.09,468.3,4.346,6.59
2013-Q1,Kolozsvár,Új lakás,1122.25,256.45,481.22,4.346,6.85
2013-Q1,Kolozsvár,Felújított lakás,990.83,250.33,481.22,4.346,6.85
2013-Q1,Kolozsvár,Használt lakás,827.32,216.88,481.22,4.346,6.85
2013-Q1,Temesvár,Új lakás,1110.6,260.64,470.3,4.346,6.67
2013-Q1,Temesvár,Felújított lakás,1002.2,232.46,470.3,4.346,6.67
2013-Q1,Temesvár,Használt lakás,836.44,196.04,470.3,4.346,6.67
2013-Q1,Brassó,Új lakás,1137.95,256.62,484.38,4.346,6.74
2013-Q1,Brassó,Felújított lakás,1000.51,238.65,484.38,4.346,6.74
2013-Q1,Brassó,Használt lakás,821.11,204.42,484.38,4.346,6.74
2013-Q1,Jászvásár,Új lakás,1110.76,274.89,469.05,4.346,6.77
2013-Q1,Jászvásár,Felújított lakás,968.67,244.71,469.05,4.346,6.77
2013-Q1,Jászvásár,Használt lakás,821.0,191.17,469.05,4.346,6.77
2013-Q1,Konstanca,Új lakás,1146.83,283.28,465.93,4.346,6.38
2013-Q1,Konstanca,Felújított lakás,977.28,236.0,465.93,4.346,6.38
2013-Q1,Konstanca,Használt lakás,820.08,211.92,465.93,4.346,6.38
2013-Q1,Craiova,Új lakás,1101.08,266.12,492.19,4.346,6.71
2013-Q1,Craiova,Felújított lakás,988.03,239.86,492.19,4.346,6.71
2013-Q1,Craiova,Használt lakás,839.49,194.06,492.19,4.346,6.71
2013-Q1,Galac,Új lakás,1101.1,276.79,494.45,4.346,6.66
2013-Q1,Galac,Felújított lakás,978.84,240.33,494.45,4.346,6.66
2013-Q1,Galac,Használt lakás,862.99,190.06,494.45,4.346,6.66
2013-Q1,Ploiești,Új lakás,1104.73,257.85,475.91,4.346,6.75
2013-Q1,Ploiești,Felújított lakás,1001.77,236.82,475.91,4.346,6.75
2013-Q1,Ploiești,Használt lakás,824.87,208.04,475.91,4.346,6.75
2013-Q1,Nagyvárad,Új lakás,1098.42,268.11,461.56,4.346,6.92
2013-Q1,Nagyvárad,Felújított lakás,982.02,222.25,461.56,4.346,6.92
2013-Q1,Nagyvárad,Használt lakás,834.12,214.43,461.56,4.346,6.92
2013-Q1,Arad,Új lakás,1132.16,274.59,462.65,4.346,6.91
2013-Q1,Arad,Felújított lakás,994.21,227.12,462.65,4.346,6.91
2013-Q1,Arad,Használt lakás,852.32,206.04,462.65,4.346,6.91
2013-Q1,Nagyszeben,Új lakás,1117.11,276.98,497.56,4.346,7.06
2013-Q1,Nagyszeben,Felújított lakás,985.27,237.69,497.56,4.346,7.06
2013-Q1,Nagyszeben,Használt lakás,845.86,193.62,497.56,4.346,7.06
2013-Q1,Târgu Mureș,Új lakás,1130.94,283.62,470.8,4.346,6.98
2013-Q1,Târgu Mureș,Felújított lakás,996.81,238.71,470.8,4.346,6.98
2013-Q1,Târgu Mureș,Használt lakás,858.12,213.51,470.8,4.346,6.98
2013-Q2,Bukarest,Új lakás,1115.25,275.14,487.9,4.328,6.6
2013-Q2,Bukarest,Felújított lakás,994.9,236.26,487.9,4.328,6.6
2013-Q2,Bukarest,Használt lakás,839.76,204.98,487.9,4.328,6.6
2013-Q2,Kolozsvár,Új lakás,1133.5,262.16,472.42,4.328,6.89
2013-Q2,Kolozsvár,Felújított lakás,987.62,225.81,472.42,4.328,6.89
2013-Q2,Kolozsvár,Használt lakás,853.61,202.97,472.42,4.328,6.89
2013-Q2,Temesvár,Új lakás,1117.07,280.36,481.07,4.328,7.06
2013-Q2,Temesvár,Felújított lakás,976.27,228.11,481.07,4.328,7.06
2013-Q2,Temesvár,Használt lakás,851.73,189.65,481.07,4.328,7.06
2013-Q2,Brassó,Új lakás,1127.65,264.29,460.87,4.328,6.42
2013-Q2,Brassó,Felújított lakás,977.24,221.38,460.87,4.328,6.42
2013-Q2,Brassó,Használt lakás,828.38,198.05,460.87,4.328,6.42
2013-Q2,Jászvásár,Új lakás,1132.69,270.0,483.9,4.328,6.78
2013-Q2,Jászvásár,Felújított lakás,1000.73,247.37,483.9,4.328,6.78
2013-Q2,Jászvásár,Használt lakás,857.13,210.2,483.9,4.328,6.78
2013-Q2,Konstanca,Új lakás,1139.63,283.32,458.98,4.328,6.94
2013-Q2,Konstanca,Felújított lakás,961.75,242.79,458.98,4.328,6.94
2013-Q2,Konstanca,Használt lakás,854.21,193.02,458.98,4.328,6.94
2013-Q2,Craiova,Új lakás,1124.71,281.44,464.05,4.328,6.45
2013-Q2,Craiova,Felújított lakás,977.63,225.52,464.05,4.328,6.45
2013-Q2,Craiova,Használt lakás,851.46,209.59,464.05,4.328,6.45
2013-Q2,Galac,Új lakás,1140.17,262.65,489.85,4.328,6.71
2013-Q2,Galac,Felújított lakás,979.32,222.74,489.85,4.328,6.71
2013-Q2,Galac,Használt lakás,860.34,188.67,489.85,4.328,6.71
2013-Q2,Ploiești,Új lakás,1118.51,281.06,462.14,4.328,6.66
2013-Q2,Ploiești,Felújított lakás,986.18,242.93,462.14,4.328,6.66
2013-Q2,Ploiești,Használt lakás,833.54,194.09,462.14,4.328,6.66
2013-Q2,Nagyvárad,Új lakás,1138.61,256.84,466.58,4.328,6.5
2013-Q2,Nagyvárad,Felújított lakás,957.72,224.82,466.58,4.328,6.5
2013-Q2,Nagyvárad,Használt lakás,861.51,212.96,466.58,4.328,6.5
2013-Q2,Arad,Új lakás,1125.57,261.92,462.36,4.328,6.68
2013-Q2,Arad,Felújított lakás,1005.42,246.72,462.36,4.328,6.68
2013-Q2,Arad,Használt lakás,852.31,216.18,462.36,4.328,6.68
2013-Q2,Nagyszeben,Új lakás,1126.01,273.22,481.14,4.328,6.37
2013-Q2,Nagyszeben,Felújított lakás,1001.14,225.61,481.14,4.328,6.37
2013-Q2,Nagyszeben,Használt lakás,858.32,209.32,481.14,4.328,6.37
2013-Q2,Târgu Mureș,Új lakás,1124.43,278.46,488.57,4.328,6.93
2013-Q2,Târgu Mureș,Felújított lakás,987.64,236.94,488.57,4.328,6.93
2013-Q2,Târgu Mureș,Használt lakás,851.81,217.42,488.57,4.328,6.93
2013-Q3,Bukarest,Új lakás,1147.47,281.57,487.31,4.367,6.87
2013-Q3,Bukarest,Felújított lakás,1002.2,241.77,487.31,4.367,6.87
2013-Q3,Bukarest,Használt lakás,836.62,208.24,487.31,4.367,6.87
2013-Q3,Kolozsvár,Új lakás,1115.25,257.4,493.03,4.367,6.62
2013-Q3,Kolozsvár,Felújított lakás,976.04,229.93,493.03,4.367,6.62
2013-Q3,Kolozsvár,Használt lakás,839.9,205.91,493.03,4.367,6.62
2013-Q3,Temesvár,Új lakás,1108.38,260.39,487.66,4.367,6.38
2013-Q3,Temesvár,Felújított lakás,991.41,223.19,487.66,4.367,6.38
2013-Q3,Temesvár,Használt lakás,834.62,201.69,487.66,4.367,6.38
2013-Q3,Brassó,Új lakás,1112.93,278.36,472.6,4.367,6.56
2013-Q3,Brassó,Felújított lakás,987.49,234.58,472.6,4.367,6.56
2013-Q3,Brassó,Használt lakás,828.93,214.77,472.6,4.367,6.56
2013-Q3,Jászvásár,Új lakás,1108.65,280.89,463.71,4.367,6.57
2013-Q3,Jászvásár,Felújított lakás,1002.82,238.07,463.71,4.367,6.57
2013-Q3,Jászvásár,Használt lakás,834.01,196.67,463.71,4.367,6.57
2013-Q3,Konstanca,Új lakás,1140.05,273.6,487.08,4.367,6.93
2013-Q3,Konstanca,Felújított lakás,988.95,228.91,487.08,4.367,6.93
2013-Q3,Konstanca,Használt lakás,849.2,204.31,487.08,4.367,6.93
2013-Q3,Craiova,Új lakás,1143.7,278.02,478.01,4.367,6.68
2013-Q3,Craiova,Felújított lakás,994.75,241.83,478.01,4.367,6.68
2013-Q3,Craiova,Használt lakás,820.81,192.01,478.01,4.367,6.68
2013-Q3,Galac,Új lakás,1120.39,284.18,497.94,4.367,7.09
2013-Q3,Galac,Felújított lakás,1000.5,233.29,497.94,4.367,7.09
2013-Q3,Galac,Használt lakás,865.4,205.94,497.94,4.367,7.09
2013-Q3,Ploiești,Új lakás,1100.58,281.99,485.39,4.367,6.74
2013-Q3,Ploiești,Felújított lakás,977.22,249.28,485.39,4.367,6.74
2013-Q3,Ploiești,Használt lakás,834.83,194.03,485.39,4.367,6.74
2013-Q3,Nagyvárad,Új lakás,1145.79,266.32,469.88,4.367,6.58
2013-Q3,Nagyvárad,Felújított lakás,974.78,238.66,469.88,4.367,6.58
2013-Q3,Nagyvárad,Használt lakás,842.84,215.62,469.88,4.367,6.58
2013-Q3,Arad,Új lakás,1109.02,276.52,480.07,4.367,6.54
2013-Q3,Arad,Felújított lakás,960.89,249.08,480.07,4.367,6.54
2013-Q3,Arad,Használt lakás,854.68,215.92,480.07,4.367,6.54
2013-Q3,Nagyszeben,Új lakás,1123.68,284.64,473.17,4.367,6.37
2013-Q3,Nagyszeben,Felújított lakás,972.31,250.72,473.17,4.367,6.37
2013-Q3,Nagyszeben,Használt lakás,865.08,196.1,473.17,4.367,6.37
2013-Q3,Târgu Mureș,Új lakás,1110.84,256.37,489.07,4.367,6.71
2013-Q3,Târgu Mureș,Felújított lakás,985.5,241.64,489.07,4.367,6.71
2013-Q3,Târgu Mureș,Használt lakás,842.03,191.71,489.07,4.367,6.71
2013-Q4,Bukarest,Új lakás,1144.75,269.49,477.81,4.332,6.96
2013-Q4,Bukarest,Felújított lakás,992.51,223.7,477.81,4.332,6.96
2013-Q4,Bukarest,Használt lakás,850.54,198.29,477.81,4.332,6.96
2013-Q4,Kolozsvár,Új lakás,1137.18,257.43,486.2,4.332,6.71
2013-Q4,Kolozsvár,Felújított lakás,996.62,238.22,486.2,4.332,6.71
2013-Q4,Kolozsvár,Használt lakás,859.57,203.22,486.2,4.332,6.71
2013-Q4,Temesvár,Új lakás,1105.45,268.89,482.53,4.332,6.75
2013-Q4,Temesvár,Felújított lakás,987.28,235.96,482.53,4.332,6.75
2013-Q4,Temesvár,Használt lakás,865.65,187.73,482.53,4.332,6.75
2013-Q4,Brassó,Új lakás,1137.72,273.06,461.37,4.332,7.06
2013-Q4,Brassó,Felújított lakás,961.92,236.18,461.37,4.332,7.06
2013-Q4,Brassó,Használt lakás,820.83,192.17,461.37,4.332,7.06
2013-Q4,Jászvásár,Új lakás,1111.78,261.42,459.82,4.332,6.61
2013-Q4,Jászvásár,Felújított lakás,964.76,245.32,459.82,4.332,6.61
2013-Q4,Jászvásár,Használt lakás,822.15,211.48,459.82,4.332,6.61
2013-Q4,Konstanca,Új lakás,1114.62,281.72,484.07,4.332,6.57
2013-Q4,Konstanca,Felújított lakás,978.31,225.74,484.07,4.332,6.57
2013-Q4,Konstanca,Használt lakás,820.93,211.07,484.07,4.332,6.57
2013-Q4,Craiova,Új lakás,1122.78,257.39,476.31,4.332,7.0
2013-Q4,Craiova,Felújított lakás,959.55,226.76,476.31,4.332,7.0
2013-Q4,Craiova,Használt lakás,847.61,204.47,476.31,4.332,7.0
2013-Q4,Galac,Új lakás,1128.92,280.67,489.92,4.332,6.45
2013-Q4,Galac,Felújított lakás,964.35,242.79,489.92,4.332,6.45
2013-Q4,Galac,Használt lakás,863.72,208.46,489.92,4.332,6.45
2013-Q4,Ploiești,Új lakás,1133.9,280.88,472.78,4.332,7.1
2013-Q4,Ploiești,Felújított lakás,975.47,245.21,472.78,4.332,7.1
2013-Q4,Ploiești,Használt lakás,857.12,190.17,472.78,4.332,7.1
2013-Q4,Nagyvárad,Új lakás,1138.15,268.05,488.69,4.332,6.91
2013-Q4,Nagyvárad,Felújított lakás,972.22,222.2,488.69,4.332,6.91
2013-Q4,Nagyvárad,Használt lakás,838.73,212.45,488.69,4.332,6.91
2013-Q4,Arad,Új lakás,1102.31,263.01,489.84,4.332,6.46
2013-Q4,Arad,Felújított lakás,972.44,228.61,489.84,4.332,6.46
2013-Q4,Arad,Használt lakás,852.05,205.07,489.84,4.332,6.46
2013-Q4,Nagyszeben,Új lakás,1109.18,260.96,463.69,4.332,6.49
2013-Q4,Nagyszeben,Felújított lakás,1007.18,237.45,463.69,4.332,6.49
2013-Q4,Nagyszeben,Használt lakás,822.88,202.28,463.69,4.332,6.49
2013-Q4,Târgu Mureș,Új lakás,1108.42,260.57,492.78,4.332,6.53
2013-Q4,Târgu Mureș,Felújított lakás,958.87,248.99,492.78,4.332,6.53
2013-Q4,Târgu Mureș,Használt lakás,847.69,213.36,492.78,4.332,6.53
2014-Q1,Bukarest,Új lakás,1214.06,297.7,513.46,4.388,6.7
2014-Q1,Bukarest,Felújított lakás,1089.97,265.49,513.46,4.388,6.7
2014-Q1,Bukarest,Használt lakás,894.52,227.51,513.46,4.388,6.7
2014-Q1,Kolozsvár,Új lakás,1227.84,298.79,528.35,4.388,6.68
2014-Q1,Kolozsvár,Felújított lakás,1089.92,267.8,528.35,4.388,6.68
2014-Q1,Kolozsvár,Használt lakás,890.13,224.96,528.35,4.388,6.68
2014-Q1,Temesvár,Új lakás,1193.46,289.47,506.64,4.388,6.58
2014-Q1,Temesvár,Felújított lakás,1082.93,249.1,506.64,4.388,6.58
2014-Q1,Temesvár,Használt lakás,928.46,230.09,506.64,4.388,6.58
2014-Q1,Brassó,Új lakás,1239.07,291.99,513.75,4.388,6.12
2014-Q1,Brassó,Felújított lakás,1054.25,269.07,513.75,4.388,6.12
2014-Q1,Brassó,Használt lakás,892.76,211.93,513.75,4.388,6.12
2014-Q1,Jászvásár,Új lakás,1235.81,301.13,528.01,4.388,6.74
2014-Q1,Jászvásár,Felújított lakás,1065.28,251.42,528.01,4.388,6.74
2014-Q1,Jászvásár,Használt lakás,915.84,223.75,528.01,4.388,6.74
2014-Q1,Konstanca,Új lakás,1213.93,310.79,531.45,4.388,6.52
2014-Q1,Konstanca,Felújított lakás,1050.35,270.2,531.45,4.388,6.52
2014-Q1,Konstanca,Használt lakás,920.33,233.47,531.45,4.388,6.52
2014-Q1,Craiova,Új lakás,1216.15,297.59,531.42,4.388,6.64
2014-Q1,Craiova,Felújított lakás,1081.46,256.37,531.42,4.388,6.64
2014-Q1,Craiova,Használt lakás,914.91,212.32,531.42,4.388,6.64
2014-Q1,Galac,Új lakás,1209.78,290.17,515.99,4.388,6.23
2014-Q1,Galac,Felújított lakás,1070.29,257.75,515.99,4.388,6.23
2014-Q1,Galac,Használt lakás,931.83,234.44,515.99,4.388,6.23
2014-Q1,Ploiești,Új lakás,1215.74,313.78,537.56,4.388,6.65
2014-Q1,Ploiești,Felújított lakás,1052.59,271.99,537.56,4.388,6.65
2014-Q1,Ploiești,Használt lakás,917.22,219.07,537.56,4.388,6.65
2014-Q1,Nagyvárad,Új lakás,1195.0,300.38,525.4,4.388,6.24
2014-Q1,Nagyvárad,Felújított lakás,1080.66,249.79,525.4,4.388,6.24
2014-Q1,Nagyvárad,Használt lakás,924.66,210.74,525.4,4.388,6.24
2014-Q1,Arad,Új lakás,1236.19,299.22,519.03,4.388,6.35
2014-Q1,Arad,Felújított lakás,1089.53,249.32,519.03,4.388,6.35
2014-Q1,Arad,Használt lakás,935.75,223.56,519.03,4.388,6.35
2014-Q1,Nagyszeben,Új lakás,1226.89,297.88,517.6,4.388,6.45
2014-Q1,Nagyszeben,Felújított lakás,1061.05,264.15,517.6,4.388,6.45
2014-Q1,Nagyszeben,Használt lakás,926.67,220.74,517.6,4.388,6.45
2014-Q1,Târgu Mureș,Új lakás,1241.1,314.36,530.41,4.388,6.77
2014-Q1,Târgu Mureș,Felújított lakás,1053.33,250.64,530.41,4.388,6.77
2014-Q1,Târgu Mureș,Használt lakás,932.65,220.87,530.41,4.388,6.77
2014-Q2,Bukarest,Új lakás,1237.34,309.33,529.21,4.374,6.62
2014-Q2,Bukarest,Felújított lakás,1072.68,257.59,529.21,4.374,6.62
2014-Q2,Bukarest,Használt lakás,890.9,237.62,529.21,4.374,6.62
2014-Q2,Kolozsvár,Új lakás,1194.83,303.76,537.75,4.374,6.18
2014-Q2,Kolozsvár,Felújított lakás,1052.41,256.7,537.75,4.374,6.18
2014-Q2,Kolozsvár,Használt lakás,903.23,213.52,537.75,4.374,6.18
2014-Q2,Temesvár,Új lakás,1223.67,300.05,521.54,4.374,6.8
2014-Q2,Temesvár,Felújított lakás,1084.1,270.03,521.54,4.374,6.8
2014-Q2,Temesvár,Használt lakás,935.77,221.09,521.54,4.374,6.8
2014-Q2,Brassó,Új lakás,1216.02,303.69,540.99,4.374,6.9
2014-Q2,Brassó,Felújított lakás,1079.14,260.25,540.99,4.374,6.9
2014-Q2,Brassó,Használt lakás,930.71,211.4,540.99,4.374,6.9
2014-Q2,Jászvásár,Új lakás,1210.1,307.33,520.71,4.374,6.8
2014-Q2,Jászvásár,Felújított lakás,1042.92,252.61,520.71,4.374,6.8
2014-Q2,Jászvásár,Használt lakás,889.82,218.01,520.71,4.374,6.8
2014-Q2,Konstanca,Új lakás,1228.21,304.36,527.13,4.374,6.74
2014-Q2,Konstanca,Felújított lakás,1072.74,257.1,527.13,4.374,6.74
2014-Q2,Konstanca,Használt lakás,901.7,221.47,527.13,4.374,6.74
2014-Q2,Craiova,Új lakás,1240.19,312.12,530.85,4.374,6.14
2014-Q2,Craiova,Felújított lakás,1062.8,255.6,530.85,4.374,6.14
2014-Q2,Craiova,Használt lakás,925.88,233.24,530.85,4.374,6.14
